路線番号,起点,終点,通過都道府県,通過数,要確認,要確認理由
426,兵庫県豊岡市,京都府福知山市,兵庫県→京都府,2,,
427,兵庫県明石市,兵庫県朝来市,兵庫県,1,,
428,兵庫県神戸市中央区,兵庫県三木市,兵庫県,1,,
429,岡山県倉敷市,京都府福知山市,岡山県→兵庫県→京都府,3,,
430,岡山県倉敷市,岡山県玉野市,岡山県,1,,
431,島根県出雲市,鳥取県米子市,島根県→鳥取県,2,,
432,広島県竹原市,島根県松江市,広島県→島根県,2,,
433,広島県大竹市,広島県三次市,広島県,1,,
434,山口県周南市,広島県三次市,山口県→広島県,2,,
435,山口県山口市,山口県下関市,山口県,1,,
436,兵庫県姫路市,香川県高松市,兵庫県→香川県,2,TRUE,"隣接していない可能性: [('兵庫県', '香川県')]"
437,愛媛県松山市,山口県岩国市,愛媛県→山口県,2,TRUE,"隣接していない可能性: [('愛媛県', '山口県')]"
438,徳島県徳島市,香川県坂出市,徳島県→香川県,2,,
439,徳島県徳島市,高知県四万十市,徳島県→高知県,2,,
440,愛媛県松山市,高知県高岡郡檮原町,愛媛県→高知県,2,,
441,愛媛県大洲市,高知県四万十市,愛媛県→高知県,2,,
442,大分県大分市,福岡県大川市,大分県→熊本県→福岡県,3,,
443,福岡県大川市,熊本県八代郡氷川町,福岡県→熊本県,2,,
444,長崎県大村市,佐賀県佐賀市,長崎県→佐賀県,2,,
445,熊本県熊本市中央区,熊本県人吉市,熊本県,1,,
446,宮崎県日向市,熊本県球磨郡湯前町,宮崎県→熊本県,2,,
447,宮崎県えびの市,鹿児島県出水市,宮崎県→鹿児島県,2,,
448,鹿児島県指宿市,宮崎県宮崎市,鹿児島県→宮崎県,2,,
449,沖縄県国頭郡本部町,沖縄県名護市,沖縄県,1,,
450,北海道上川郡比布町,北海道紋別市,北海道,1,,
451,北海道留萌市,北海道滝川市,北海道,1,,
452,北海道夕張市,北海道旭川市,北海道,1,,
453,北海道札幌市豊平区,北海道伊達市,北海道,1,,
454,青森県八戸市,青森県南津軽郡大鰐町,青森県→秋田県,2,,
455,岩手県盛岡市,岩手県下閉伊郡岩泉町,岩手県,1,,
456,岩手県盛岡市,宮城県気仙沼市,岩手県→宮城県,2,,
457,岩手県一関市,宮城県白石市,岩手県→宮城県,2,,
458,山形県新庄市,山形県上山市,山形県,1,,
459,新潟県新潟市中央区,福島県双葉郡浪江町,新潟県→福島県,2,,
460,新潟県新発田市,新潟県柏崎市,新潟県,1,,
461,栃木県日光市,茨城県日立市,栃木県→茨城県,2,,
462,長野県佐久市,群馬県伊勢崎市,長野県→群馬県→埼玉県,3,,
463,埼玉県越谷市,埼玉県入間市,埼玉県,1,,
464,千葉県松戸市,千葉県成田市,千葉県,1,,
465,千葉県茂原市,千葉県富津市,千葉県,1,,
466,東京都世田谷区,神奈川県横浜市神奈川区,東京都→神奈川県,2,,
467,神奈川県大和市,神奈川県藤沢市,神奈川県,1,,
468,神奈川県横浜市金沢区,千葉県木更津市,神奈川県→東京都→埼玉県→茨城県→千葉県,5,,
469,静岡県御殿場市,山梨県南巨摩郡南部町,静岡県→山梨県,2,,
470,石川県輪島市,富山県小矢部市,石川県→富山県,2,,
471,石川県羽咋市,岐阜県高山市,石川県→富山県→岐阜県,3,,
472,富山県射水市,岐阜県郡上市,富山県→岐阜県,2,,
473,愛知県蒲郡市,静岡県牧之原市,愛知県→静岡県,2,,
474,長野県飯田市,静岡県浜松市浜名区,長野県→静岡県→愛知県,3,,
475,愛知県豊田市,三重県四日市市,愛知県→岐阜県→三重県,3,,
476,福井県大野市,福井県敦賀市,福井県,1,,
477,三重県四日市市,大阪府池田市,三重県→滋賀県→京都府→大阪府→兵庫県,5,,
478,京都府宮津市,京都府久世郡久御山町,京都府,1,,
479,大阪府豊中市,大阪府大阪市住之江区,大阪府,1,,
480,大阪府泉大津市,和歌山県有田市,大阪府→和歌山県,2,,
481,大阪府泉佐野市,大阪府泉佐野市,大阪府,1,,
482,京都府宮津市,鳥取県米子市,京都府→兵庫県→鳥取県→岡山県,4,,
483,兵庫県豊岡市,兵庫県丹波市,兵庫県,1,,
484,岡山県備前市,岡山県高梁市,岡山県,1,,
485,島根県隠岐郡隠岐の島町,島根県松江市,島根県,1,,
486,岡山県総社市,広島県東広島市,岡山県→広島県,2,,
487,広島県呉市,広島県広島市南区,広島県,1,,
488,島根県益田市,広島県廿日市市,島根県→広島県,2,,
489,山口県周南市,山口県山口市,山口県,1,,
490,山口県宇部市,山口県萩市,山口県,1,,
491,山口県下関市,山口県長門市,山口県,1,,
492,香川県高松市,高知県長岡郡大豊町,香川県→徳島県→高知県,3,,
493,高知県高知市,高知県安芸郡東洋町,高知県,1,,
494,愛媛県松山市,高知県須崎市,愛媛県→高知県,2,,
495,福岡県北九州市若松区,福岡県福岡市東区,福岡県,1,,
496,福岡県行橋市,大分県日田市,福岡県→大分県,2,,
497,福岡県福岡市西区,佐賀県武雄市,福岡県→佐賀県→長崎県,3,,
498,佐賀県鹿島市,長崎県佐世保市,佐賀県→長崎県,2,,
499,長崎県長崎市,鹿児島県阿久根市,長崎県→熊本県→鹿児島県,3,TRUE,"資料の括弧表記（陸上区間なし・海上区間のみ通過）を正規の都道府県名に正規化: ['長崎県', '（熊本県）', '鹿児島県'] -> ['長崎県', '熊本県', '鹿児島県'] / 隣接していない可能性: [('長崎県', '熊本県')]"
500,大分県別府市,佐賀県鳥栖市,大分県→福岡県→佐賀県,3,,
501,福岡県大牟田市,熊本県宇土市,福岡県→熊本県,2,,
502,大分県臼杵市,大分県竹田市,大分県,1,,
503,熊本県阿蘇郡高森町,宮崎県日向市,熊本県→宮崎県,2,,
504,鹿児島県鹿屋市,鹿児島県出水市,鹿児島県,1,,
505,沖縄県国頭郡本部町,沖縄県名護市,沖縄県,1,,
506,沖縄県那覇市,沖縄県中頭郡西原町,沖縄県,1,,
507,沖縄県糸満市,沖縄県那覇市,沖縄県,1,,
